,Unnamed: 0,Unnamed: 0.1,stoploss,takeprofit,nPCs,strategy,Min,Max,ROI%,nTrades,ROI%Validation,nTradesValidation
4296,26,26,0.03,0.03,25,Bullish,0.6000000000000001,1.0000000000000004,-0.08868352295796961,31116,0.4271848572860753,23420
4297,0,0,0.05,0.01,80,Bullish,0.5,0.55,-0.08879693435685816,482,-5.170923050000009,1
4298,0,0,0.01,0.03,95,Bullish,0.5,0.55,-0.08880533580121751,986,,0
4299,47,47,0.03,0.01,110,Bullish,0.8000000000000003,0.9500000000000004,-0.088871573748279,7214,,0
4300,21,21,0.04,0.04,80,Bullish,0.6000000000000001,0.7500000000000002,-0.08889764954407885,1316,,0
4301,1,1,0.05,0.01,65,Bullish,0.5,0.6000000000000001,-0.0889586895029702,845,-1.178119810000011,3
4302,20,20,0.01,0.02,40,Bullish,0.6000000000000001,0.7000000000000002,-0.08898559287784533,2898,-0.08235944526817496,839
4303,17,17,0.04,0.01,25,Bullish,0.55,0.9500000000000004,-0.08902431743262076,21294,-0.06330955242679667,21683
4304,39,39,0.01,0.05,110,Bullish,0.7000000000000002,1.0000000000000004,-0.08905389936422377,9107,,0
4305,51,51,0.01,0.05,110,Bullish,0.8500000000000003,1.0000000000000004,-0.08910542968257787,8002,,0
4306,13,13,0.01,0.02,40,Bullish,0.55,0.7500000000000002,-0.08912539047156336,5662,-0.047377813609957006,1687
4307,38,38,0.02,0.02,25,Bullish,0.7000000000000002,0.9500000000000004,-0.08924104108711878,12087,-0.013866216456524685,7947
4308,53,53,0.05,0.02,25,Bullish,0.9000000000000004,1.0000000000000004,-0.08924268094816498,36713,0.5913026893449428,10625
4309,39,39,0.03,0.01,10,Bullish,0.7000000000000002,1.0000000000000004,-0.08927116632011384,50159,-0.12654840005128126,32768
4310,37,37,0.02,0.05,40,Bullish,0.7000000000000002,0.9000000000000004,-0.08951472732999187,3191,0.15231766814593478,4687
